レースID,年月日,レースNo,レース名,クラス,種別,距離,天候,状態,発走,競馬場,条件,
201405050111,2014年11月8日,11,第50回京王杯2歳ステークス,G2,芝左,1400,曇,良,15:35,5回東京1日目,2歳オープン(国際)(指)(馬齢),
201405050211,2014年11月9日,11,第52回アルゼンチン共和国杯,G2,芝左,2500,曇,良,15:35,5回東京2日目,3歳以上オープン(国際)(特指)(ハンデ),
201405050311,2014年11月15日,11,第19回東京中日S杯武蔵野S,G3,ダ左,1600,晴,良,15:30,5回東京3日目,3歳以上オープン(国際)(指)(別定),
201405050711,2014年11月24日,11,第19回東京スポーツ杯2歳S,G3,芝左,1800,晴,良,15:25,5回東京7日目,2歳オープン(国際)(指)(馬齢),
201405050911,2014年11月30日,11,第34回ジャパンカップ,G1,芝左,2400,晴,良,15:55,5回東京9日目,3歳以上オープン(国際)(指)(定量),
201406010111,2014年1月5日,11,第63回日刊スポ賞中山金杯,G3,芝右,2000,晴,良,15:25,1回中山1日目,4歳以上オープン(国際)[指](ハンデ),
201406010511,2014年1月13日,11,第30回フェアリーステークス,G3,芝右 外,1600,晴,良,15:35,1回中山5日目,3歳オープン(国際),
201406010711,2014年1月19日,11,第54回京成杯,G3,芝右,2000,晴,良,15:35,1回中山7日目,3歳オープン(国際)(特指)(別定),
201406010911,2014年1月26日,11,第55回アメリカジョッキーC,G2,芝右 外,2200,曇,良,15:35,1回中山9日目,4歳以上オープン(国際)[指](別定),
201406020211,2014年3月2日,11,第88回中山記念,G2,芝右,1800,雨,稍重,15:45,2回中山2日目,4歳以上オープン(国際)[指](別定),
201406020311,2014年3月8日,11,第9回夕刊フジオーシャンS,G3,芝右 外,1200,晴,良,15:45,2回中山3日目,4歳以上オープン(国際)(指)(別定),
201406020411,2014年3月9日,11,第51回報知杯弥生賞,G2,芝右,2000,晴,良,15:45,2回中山4日目,3歳オープン(国際)(指)(馬齢),
201406020611,2014年3月16日,11,第32回中山牝馬ステークス,G3,芝右,1800,晴,良,15:45,2回中山6日目,4歳以上オープン(国際),
201406020711,2014年3月21日,11,第28回フラワーカップ,G3,芝右,1800,晴,良,15:45,2回中山7日目,3歳オープン(国際),
201406020811,2014年3月23日,11,第63回フジTVスプリングS,G2,芝右,1800,晴,良,15:45,2回中山8日目,3歳オープン(国際),
201406030111,2014年3月29日,11,第62回日経賞,G2,芝右,2500,晴,良,15:45,3回中山1日目,4歳以上オープン(国際)(指)(別定),
201406030211,2014年3月30日,11,第21回マーチステークス,G3,ダ右,1800,小雨,重,15:30,3回中山2日目,4歳以上オープン(国際)(指)(ハンデ),
201406030411,2014年4月6日,11,第46回ダービー卿チャレンジ,G3,芝右 外,1600,曇,稍重,15:45,3回中山4日目,4歳以上オープン(国際)[指](ハンデ),
201406030511,2014年4月12日,11,第32回ニュージーランドT,G2,芝右 外,1600,晴,良,15:45,3回中山5日目,3歳オープン(国際),
201406030711,2014年4月19日,11,第16回中山グランドジャンプ,J.G1,障芝 外,4250,晴,良,15:40,3回中山7日目,障害4歳以上オープン(国際)(定量),
